Latitude,Longitude,Magnitude,Year,Month,Day,Time
12.115,143.729,5.8,1967,05,29,04:45:44
53.567,-165.718,5.8,1967,06,01,03:36:19
-6.794,154.934,5.6,1967,06,01,20:47:45
58.207,-151.453,5.6,1967,06,03,09:08:57
-41.394,-73.809,5.7,1967,06,10,05:26:44
-44.881,35.508,5.8,1967,06,12,05:21:09
47.649,154.23,6.0,1967,06,12,23:22:46
-15.052,-73.315,5.7,1967,06,14,03:14:18
-15.406,-173.343,6.2,1967,06,14,05:06:21
47.449,154.503,5.6,1967,06,14,08:13:01
-58.375,-26.956,6.0,1967,06,17,05:00:15
52.539,-166.912,6.1,1967,06,19,17:07:46
52.638,-167.155,5.9,1967,06,20,07:38:49
-2.336,-77.519,5.7,1967,06,21,06:49:54
64.65,-147.798,5.7,1967,06,21,18:13:04
-25.076,-70.394,6.2,1967,06,21,20:09:32
-5.859,130.325,5.8,1967,06,23,05:05:06
-19.142,167.74,5.6,1967,06,23,21:30:12
12.531,141.665,5.7,1967,06,24,21:00:26
12.488,141.655,5.8,1967,06,25,23:18:04
-9.543,157.752,5.6,1967,06,28,00:14:37
-47.085,165.844,5.7,1967,06,28,14:34:06
-7.249,128.596,5.5,1967,06,29,16:36:20
54.358,-158.087,6.5,1967,07,01,23:10:08
8.823,93.637,6.1,1967,07,02,07:03:53
43.136,142.67,5.7,1967,07,04,23:42:14
52.557,-168.19,6.1,1967,07,06,13:42:26
8.571,125.941,5.7,1967,07,07,13:28:41
4.894,126.855,5.7,1967,07,10,19:18:11
5.479,-82.732,6.1,1967,07,12,21:00:23
-0.869,132.73,6.2,1967,07,16,13:34:33
7.557,134.69,6.4,1967,07,20,15:36:24
-33.451,-178.828,6.1,1967,07,22,03:58:01
40.751,30.8,7.4,1967,07,22,16:57:00
39.568,40.445,6.2,1967,07,26,18:53:02
6.747,-73.032,6.8,1967,07,29,10:24:25
10.559,-67.33,6.6,1967,07,30,00:00:04
40.764,30.609,5.7,1967,07,30,01:31:03
-13.02,-76.731,5.7,1967,08,01,01:13:42
-6.484,130.544,5.9,1967,08,09,08:20:06
45.342,150.317,5.6,1967,08,10,11:21:23
-24.719,-177.33,6.7,1967,08,12,09:39:46
