zip_code,label,department_name,department_number,region_name
9160,betchat,ariège,09,occitanie
9100,bezac,ariège,09,occitanie
9800,bonac irazein,ariège,09,occitanie
9310,bouan,ariège,09,occitanie
9320,boussenac,ariège,09,occitanie
9000,burret,ariège,09,occitanie
9120,calzan,ariège,09,occitanie
9300,carla de roquefort,ariège,09,occitanie
9420,castelnau durban,ariège,09,occitanie
9130,casteras,ariège,09,occitanie
9350,castex,ariège,09,occitanie
9120,cazaux,ariège,09,occitanie
5800,st maurice en valgodemard,hautes-alpes,05,provence-alpes-côte d'azur
7110,chassiers,ardèche,07,auvergne-rhône-alpes
7110,chazeaux,ardèche,07,auvergne-rhône-alpes
7130,cornas,ardèche,07,auvergne-rhône-alpes
7000,coux,ardèche,07,auvergne-rhône-alpes
7170,darbres,ardèche,07,auvergne-rhône-alpes
7160,dornas,ardèche,07,auvergne-rhône-alpes
7110,largentiere,ardèche,07,auvergne-rhône-alpes
7160,mariac,ardèche,07,auvergne-rhône-alpes
7140,montselgues,ardèche,07,auvergne-rhône-alpes
7000,privas,ardèche,07,auvergne-rhône-alpes
7110,rocles,ardèche,07,auvergne-rhône-alpes
7160,st cierge sous le cheylard,ardèche,07,auvergne-rhône-alpes
7100,st marcel les annonay,ardèche,07,auvergne-rhône-alpes
7140,st pierre st jean,ardèche,07,auvergne-rhône-alpes
7190,st pierreville,ardèche,07,auvergne-rhône-alpes
7140,les vans,ardèche,07,auvergne-rhône-alpes
39270,alieze,jura,39,bourgogne-franche-comté
39240,arinthod,jura,39,bourgogne-franche-comté
39210,arlay,jura,39,bourgogne-franche-comté
39270,la chailleuse,jura,39,bourgogne-franche-comté
39800,aumont,jura,39,bourgogne-franche-comté
39700,auxange,jura,39,bourgogne-franche-comté
39200,avignon les st claude,jura,39,bourgogne-franche-comté
39380,bans,jura,39,bourgogne-franche-comté
39100,baverans,jura,39,bourgogne-franche-comté
39190,beaufort orbagna,jura,39,bourgogne-franche-comté
39400,bellefontaine,jura,39,bourgogne-franche-comté
39380,belmont,jura,39,bourgogne-franche-comté
39800,bersaillin,jura,39,bourgogne-franche-comté
39110,bracon,jura,39,bourgogne-franche-comté
39800,buvilly,jura,39,bourgogne-franche-comté
39240,cernon,jura,39,bourgogne-franche-comté
39150,les chalesmes,jura,39,bourgogne-franche-comté
39250,charency,jura,39,bourgogne-franche-comté
39130,charezier,jura,39,bourgogne-franche-comté
39210,chateau chalon,jura,39,bourgogne-franche-comté
39230,le chateley,jura,39,bourgogne-franche-comté
39130,chatillon,jura,39,bourgogne-franche-comté
39200,nanchez,jura,39,bourgogne-franche-comté
39110,chaux champagny,jura,39,bourgogne-franche-comté
39570,chille,jura,39,bourgogne-franche-comté
39110,chilly sur salins,jura,39,bourgogne-franche-comté
39380,chissey sur loue,jura,39,bourgogne-franche-comté
39140,commenailles,jura,39,bourgogne-franche-comté
39570,courlans,jura,39,bourgogne-franche-comté
39570,courlaoux,jura,39,bourgogne-franche-comté
39700,courtefontaine,jura,39,bourgogne-franche-comté
39260,coyron,jura,39,bourgogne-franche-comté
39210,hauteroche,jura,39,bourgogne-franche-comté
39260,crenans,jura,39,bourgogne-franche-comté
39100,crissey,jura,39,bourgogne-franche-comté
39700,dampierre,jura,39,bourgogne-franche-comté
39130,denezieres,jura,39,bourgogne-franche-comté
39120,le deschaux,jura,39,bourgogne-franche-comté
39230,les deux fays,jura,39,bourgogne-franche-comté
39190,digna,jura,39,bourgogne-franche-comté
39100,dole,jura,39,bourgogne-franche-comté
39270,dompierre sur mont,jura,39,bourgogne-franche-comté
39240,dramelay,jura,39,bourgogne-franche-comté
39160,val d epy,jura,39,bourgogne-franche-comté
39320,val d epy,jura,39,bourgogne-franche-comté
39300,equevillon,jura,39,bourgogne-franche-comté
9200,alos,ariège,09,occitanie
39130,etival,jura,39,bourgogne-franche-comté
9400,arignac,ariège,09,occitanie
39230,francheville,jura,39,bourgogne-franche-comté
9460,artigues,ariège,09,occitanie
39130,le frasnois,jura,39,bourgogne-franche-comté
9140,aulus les bains,ariège,09,occitanie
39110,geraise,jura,39,bourgogne-franche-comté
9800,balacet,ariège,09,occitanie
39380,germigney,jura,39,bourgogne-franche-comté
9500,la bastide de bousignac,ariège,09,occitanie
39570,gevingey,jura,39,bourgogne-franche-comté
9240,la bastide de serou,ariège,09,occitanie
39150,grande riviere chateau,jura,39,bourgogne-franche-comté
9600,la bastide sur l hers,ariège,09,occitanie
39320,graye et charnay,jura,39,bourgogne-franche-comté
9600,belloc,ariège,09,occitanie
39110,ivrey,jura,39,bourgogne-franche-comté
9300,benaix,ariège,09,occitanie
39210,ladoye sur seille,jura,39,bourgogne-franche-comté
9800,bethmale,ariège,09,occitanie
9800,bordes uchentein,ariège,09,occitanie
39140,larnaud,jura,39,bourgogne-franche-comté
