zip_code,latitude,longitude,department_number
39700,47.177696691,5.654431375,39
39200,46.401415232,5.841108907,39
39380,46.982403501,5.580664055,39
39100,47.105995408,5.536574226,39
39190,46.585163377,5.434623271,39
39400,46.556551899,6.082359393,39
39380,47.028201675,5.605061014,39
39800,46.857207383,5.595263907,39
39110,46.925701949,5.868310395,39
39800,46.869681049,5.725636745,39
39240,46.412315932,5.643405536,39
39150,46.692139123,6.026439714,39
39250,46.766948662,5.991886106,39
39130,46.614530533,5.726955677,39
39210,46.759243277,5.648414693,39
39230,46.879800002,5.5442929450000005,39
39130,46.663026475,5.727169626,39
39200,46.500781245,5.861824827,39
39110,46.884154623,5.879711162,39
39570,46.693041196,5.571909283,39
39110,46.870199969,5.858210036,39
39380,47.060399995,5.740191409,39
39140,46.805895385,5.437128703,39
39570,46.676012788,5.487388674,39
39570,46.669676119,5.449171257,39
39700,47.132677999,5.792778762,39
39260,46.512641842,5.697033148,39
39210,46.699491802,5.697212623,39
39260,46.466529395,5.7419862340000005,39
39100,47.051054482,5.478654585,39
39700,47.173242784,5.742542149,39
39130,46.623880768,5.801157366,39
39120,46.950886325,5.498571507,39
39230,46.885617586,5.487783703,39
39190,46.518360263,5.38498466,39
39100,47.075502708,5.500897034,39
39270,46.562417185,5.612866077,39
39240,46.404302536,5.52954359,39
39160,46.389785344,5.397605725,39
39320,46.389785344,5.397605725,39
39300,46.760836092,5.9428508650000005,39
9200,42.897888566,1.129211246,09
39130,46.492221957,5.793862303,39
9400,42.87585768,1.595543477,09
39230,46.836292538,5.502884384,39
9460,42.689846976,2.037910827,09
39130,46.636351633,5.890811397,39
9140,42.766542296,1.355768892,09
39110,46.958660024,5.954886904,39
9800,42.887117793,0.98278804,09
39380,47.037391858,5.6858203320000005,39
9500,43.058173549,1.884852447,09
39570,46.638116747,5.50962812,39
9240,43.024895448,1.392649757,09
39150,46.528638867,5.909426948,39
9600,42.950959843,1.89986243,09
39320,46.473281265,5.44835224,39
9600,43.00739017,1.933669882,09
39110,46.989178766,5.896461266,39
9300,42.895305448,1.850852879,09
39210,46.767223289,5.682794409,39
9800,42.853965958,1.07673861,09
9800,42.837369269,1.032045893,09
39140,46.706103332,5.457630233,39
9700,43.206824744,1.517381142,09
39250,46.752350191,6.095555289,39
9290,43.069587717,1.277445001,09
39170,46.38753267,5.769814173,39
9500,43.021739562,1.962204382,09
39170,46.38753267,5.769814173,39
9460,42.707804729,2.123895517,09
39170,46.38753267,5.769814173,39
9500,43.092880528,1.939678458,09
39210,46.716723376,5.605508663,39
9230,43.119836867,1.067612925,09
39210,46.716723376,5.605508663,39
9310,42.781483366,1.677300872,09
39260,46.394732447,5.672467609,39
39110,46.889451599,5.982617343,39
39300,46.75111933,5.976163891,39
39250,46.770954536,6.075184305,39
39380,47.030432038,5.552809277,39
39270,46.575761446,5.636094441,39
39600,46.900018759,5.818250676,39
39250,46.77774079,6.140716692,39
39250,46.77774079,6.140716692,39
39800,46.825383647,5.816773193,39
39500,47.015340653,5.423234616,39
39230,46.83829832,5.5952518520000005,39
39100,47.114115559,5.460997029,39
39800,46.894594959,5.639042641,39
39600,46.937006746,5.776683918,39
39300,46.705139659,5.791865625,39
39290,47.217230686,5.51656716,39
39290,47.229925885,5.533745481,39
39300,46.786828301,5.843837081,39
39400,46.557287203,6.016436172,39
39250,46.776692106,5.9905407870000005,39
39310,46.326880758,5.872391483,39
39300,46.790797471,5.943902595,39
39160,46.419552874,5.35630085,39
39270,46.473943072,5.529454815,39
39300,46.79445617,5.973982908,39
39380,47.002726559,5.51581086,39
39210,46.735070332,5.644726458,39
39290,47.203818512,5.560676356,39
39270,46.448708512,5.663245225,39
39270,46.519453561,5.598867642,39
39350,47.249741201,5.699474911,39
39230,46.804080834,5.623869417,39
39120,46.993310722,5.366668785,39
39800,46.754640248,5.756814531,39
39800,46.794313254,5.690542388,39
39570,46.594688625,5.622458481,39
39800,46.818861886,5.773947475,39
39300,46.731661169,5.789236418,39
39120,46.993964981,5.4744054680000005,39
39190,46.583165602,5.476647948,39
39270,46.515275321,5.527285899,39
39350,47.22663237,5.708697328,39
39220,46.498235856,6.06968778,39
39400,46.498235856,6.06968778,39
39190,46.614706582,5.474621246,39
39200,46.408714547,5.875920618,39
39600,46.958784809,5.722490744,39
39570,46.708595427,5.511372071,39
39320,46.386313329,5.443105612,39
39320,46.386313329,5.443105612,39
39170,46.412246961,5.798719091,39
39570,46.606897999,5.595990619,39
39130,46.568096837,5.834026935,39
39700,47.160113967,5.794392815,39
39380,47.042099833,5.665477502,39
39270,46.474500649,5.617408824,39
39130,46.647137037,5.830542779,39
39130,46.540172646,5.757784209,39
39380,46.97920539,5.553672934,39
39120,46.923022059,5.512541577,39
39270,46.523696813,5.662745455,39
39570,46.636413188,5.4624955790000005,39
39570,46.658826692,5.684090724,39
39800,46.855455889,5.639683999,39
39600,46.933518721,5.743829779,39
39230,46.848011647,5.507972027,39
39190,46.602897042,5.464680776,39
39190,46.602897042,5.464680776,39
39230,46.79367224,5.482371739,39
39240,46.348400035,5.52189486,39
58270,46.966560312,3.498985277,58
58800,47.308662574,3.724871048,58
58430,47.040464565,4.015692994,58
58420,47.310372331,3.5523411510000003,58
58110,47.124134471,3.719630112,58
58110,46.993703901,3.654343187,58
58270,47.011971519,3.461879934,58
58120,47.122483237,3.82148616,58
